year,postcode,suburb,emission_source,total_electricity_kwh,average_intensity_kwh_per_customer_per_annum,average_intensity_kwh_per_customer_per_day,scope_2_kg_co2e,scope_3_kg_co2e,total_emissions_kg_co2e,average_emissions_per_customer_kg_co2e,average_emissions_energy_per_customer_kg_co2e_per_day,rest_of_municipality_total_electricity_kwh,rest_of_municipality_emissions_kg_co2e,total_cost,average_intensity_household_per_day,average_intensity_household_per_month,average_intensity_household_per_annum
2022,3802,Endeavour Hills,Electricity,37275932.0,4338.0,11.0,31684542.0,2609315.0,34293857.0,3991.0,10.0,507337930.0,466750896.0,13974607.0,4.0,135.0,1626.0
2022,3803,Hallam,Electricity,15148750.0,3921.0,10.0,12876437.0,1060412.0,13936850.0,3607.0,9.0,529465112.0,487107903.0,5841654.0,4.0,126.0,1512.0
2022,3804,Narre Warren North,Electricity,18611076.0,8049.0,22.0,15819415.0,1302775.0,17122190.0,7405.0,20.0,526002785.0,483922562.0,6113034.0,7.0,220.0,2643.0
2022,3805,Narre Warren and Narre Warren South,Electricity,80303265.0,4196.0,11.0,68257775.0,5621228.0,73879004.0,3860.0,10.0,464310596.0,427165749.0,30379434.0,4.0,132.0,1587.0
2022,3806,Berwick and Harkaway,Electricity,83413233.0,4448.0,12.0,70901248.0,5838926.0,76740174.0,4093.0,11.0,461200629.0,424304578.0,31062700.0,4.0,138.0,1656.0
2022,3807,Beaconsfield,Electricity,1094657.0,5731.0,15.0,930458.0,76625.0,1007084.0,5272.0,14.0,543519205.0,500037669.0,383590.0,5.0,167.0,2008.0
2022,3912,Pearcedale,Electricity,8774555.0,5761.0,15.0,7458372.0,614218.0,8072591.0,5300.0,14.0,535839306.0,492972162.0,3071281.0,5.0,168.0,2016.0
2022,3975,Lynbrook and Lyndhurst,Electricity,19452271.0,3870.0,10.0,16534431.0,1361659.0,17896090.0,3560.0,9.0,525161590.0,483148663.0,7529564.0,4.0,124.0,1498.0
2022,3976,Hampton Park,Electricity,30033341.0,3584.0,9.0,25528340.0,2102333.0,27630674.0,3298.0,9.0,514580520.0,473414079.0,11895194.0,3.0,118.0,1419.0
2022,3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",Electricity,165708991.0,4156.0,11.0,140852642.0,11599629.0,152452272.0,3824.0,10.0,378904871.0,348592481.0,62852538.0,4.0,131.0,1576.0
2022,3978,Clyde and Clyde North,Electricity,56096283.0,3408.0,9.0,47681841.0,3926739.0,51608580.0,3135.0,8.0,488517579.0,449436172.0,22571815.0,3.0,114.0,1371.0
2022,3980,"Blind Bight , Tooradin and Warneet",Electricity,10123172.0,7521.0,20.0,8604696.0,708622.0,9313318.0,6919.0,18.0,534490690.0,491731435.0,3363661.0,6.0,208.0,2499.0
